"Country","Factory_Name","Address","City","Code","Province","Factory_Number","Product_Type","Total_Workers","Female_Workers","Male_Workers","Migrant_Workers","Parent_Organization_Name","Line_Workers","Factory_Type","Supplier_Group","Corporation_Brand","Region"
"Argentina","JDTEX INDUMENTARIA S.A.","Juan Iribarne 960","Lujan","B6700","Buenos Aires","","Apparel","33","24","9","0","","28","FINISHED GOODS","JDTEX INDUMENTARIA SA","Converse","AMERICAS"
"China","TONG HONG TANNERY CO LTD (CHINA)","HEPU COUNTY","Bekasi","536000","Guangxi","","Footwear","1050","420","630","0","","850","MATERIALS","TONG HONG","Nike","N ASIA"
"Vietnam","TONG HONG TANNERY CO LTD (VIETNAM)","LOT NO II1 MY XUAN A2 INDUS MY XUAN WARD PHU MY CITY BRVT","PHU MY","78000","Bà Ra - Vung Tàu","","Footwear","1260","504","756","50","","1160","MATERIALS","TONG HONG","Nike","SE ASIA"
"Cambodia","Top Summit Garment Inc","National Rd No 4","Kandal","315000","Kandaal","","Apparel","6000","5460","540","0","","4209","FINISHED GOODS","SABRINA","Nike","SE ASIA"
"China","TORAY SAKAI CO. LTD.","301 Ruixing Road","Nantong","226009","Jiangsu","","Apparel","1500","600","900","0","","1200","MATERIALS","TORAY","Nike","N ASIA"
"Japan","Toyama Sports Goods Co., Ltd.","345 Fukumitsu","Nanto","939-1637","Toyama","","Equipment","3","0","3","0","","2","FINISHED GOODS","TOYAMA SPORTS","Nike","N ASIA"
"China","TRIMCO GROUP (HONG KONG) CO LTD","Flat G 8Floor City Industrial Complex","Kwai Chung","999077","Guangdong","","Apparel","227","159","68","0","","72","MATERIALS","TRIMCO GROUP","Nike","N ASIA"
"China","TRIMCO GROUP (ZHEJIANG) CO LTD","No 236 Xin Lang Road","Yu Yao City","315480","Zhejiang","","Apparel","345","183","162","0","","203","FINISHED GOODS - COMPONENTS","TRIMCO GROUP","Nike","N ASIA"
"Sri Lanka","Trischel Fabric (PVT) Ltd","MAS Fabric Park  Kurunegala Road","Thulhiriya","71610","Kurunegala","","Apparel","1085","11","1074","22","","875","MATERIALS","MAS HOLDINGS","Nike","S ASIA"
"Vietnam","TTG Co. Ltd.","B1-4 Industrial Zone","Tien Giang","3937350","Long An","","Apparel","58","24","34","0","","41","FINISHED GOODS","SOUTH ISLAND","Nike","SE ASIA"
"Vietnam","TUNTEX SOC TRANG VIETNAM CO.LTD","OT H, AN NGHIEP INDUSTRIAL ZONE, AN HIEP WARD","Soc Trang","95000","Sóc Trang","","Apparel","1266","1114","152","13","","888","FINISHED GOODS","TUNTEX","Nike","SE ASIA"
"USA","U.S. Embroidery, LLC","25999 SW Canyon Creek Rd","Wilsonville","97070","Oregon","","Apparel","20","16","4","0","","19","FINISHED GOODS","US EMBROIDERY","Nike","AMERICAS"
"Lithuania","UAB Haltex","Audeju str","Alytus","62175","Alytaus Apskritis","","Apparel","324","295","29","6","","256","FINISHED GOODS","UAB HALTEX","Nike","EMEA"
"Sri Lanka","Unichela (Pvt)Ltd, Vidiyal Division","Bharathipuram Road","Kilinochchi","44000","Kilinochchi","","Apparel","1935","1935","0","0","","1400","FINISHED GOODS","MAS HOLDINGS","Nike","S ASIA"
"Vietnam","Unipax Co., Ltd","Plot 1012 101 4 Amata Rd 3","Bien Hoa City","02513","Ðng Nai","","Apparel","1800","1764","36","18","","1500","FINISHED GOODS","HWASEUNG CROWN","Nike","SE ASIA"
"Vietnam","Unipax Vi Thanh C.,Ltd.","Land plot No 19 Map sheet No 7","Vi Thanh","95000","Hu Giang","","Apparel","2530","2479","51","0","","2500","FINISHED GOODS","HWASEUNG CROWN","Nike","SE ASIA"
"China","United Creation Optical Technology Co., Ltd","D2 2 Mingde Road Glasses Industrial Park Yujiang District","Yingtan","335200","Jiangxi","","Equipment","334","334","0","0","","280","FINISHED GOODS","UNITED CREATION","Nike","N ASIA"
"Vietnam","United Sweethearts Garment (Vietnam) Co., Ltd.","Road 10 Nhon Trach I Industrial Zone","Dong Nai","810000","Ðng Nai","","Apparel","2400","2040","360","0","","1803","FINISHED GOODS","UNITED SWEETHEART","Nike","SE ASIA"
"Thailand","Universal Sporting Goods (Thai) Co., Ltd.","91 Moo 1 Petchakasern Rd Soi Wattheintad T Banmai","samphan","73110","Nakhon Pathom","","Equipment","540","427","113","281","","464","FINISHED GOODS","UNIVERSAL","Nike","SE ASIA"
"Thailand","VEGA BALLS MANUFACTURING","653 Mu4 Soi E6 Phatthana 1Road","Mueang Samut Prakan District","10280","Samut Prakan","","Equipment","371","278","93","0","","355","FINISHED GOODS","VEGA BALL","Nike","SE ASIA"
"Thailand","VERTEX APPAREL 2022 CO.,LTD.","18 Moo 2 Nonphueng","Ubonratchathani","34190","Ubon Ratchathani","","Apparel","1098","813","285","143","","1056","FINISHED GOODS","HI TECH","Nike","SE ASIA"
"Philippines","Vertex One Apparel Phils., Inc.","Crescent Road Lot 8 Block 4","Lapu Lapu City","6015","Cebu","","Apparel","2151","860","1291","0","","1329","FINISHED GOODS","Sports City","Nike","N ASIA"
"Mexico","Vertical Knits S.A. de C.V.","CALLE 20 131 C X 27 Y 29","Baca","97450","Yucatán","","Apparel","2236","1185","1051","0","","1218","FINISHED GOODS","VERTICAL KNITS","Nike","AMERICAS"
"Mexico","Vertical Knits S.A. de C.V. (MDC - Tizimin)","tablaje catastral 2669 SN CP 97702","Tizimin","97702","Yucatán","","Apparel","801","344","457","8","","589","FINISHED GOODS","VERTICAL KNITS","Nike","AMERICAS"
"Vietnam","Viet Hong Garment Export Co., Ltd.","425B Nguyen Dinh Chieu St W 8","Ben Tre","150513490","Bn Tre","","Apparel","1502","1021","481","0","","1256","FINISHED GOODS","SOUTH ISLAND","Nike","SE ASIA"
